original,location,region,sample,event,denom,study,year
Kopecká et al 1989,Libya,Northern Africa,38,60,100000,Kopecká,1989
Himri Sara et al 2020,Morocco,Northern Africa,209,3,100,Himri Sara,2020
Emy et al 2021,Uganda,Eastern Africa,410,25,100000,Emy,2021
Nkereuwem et al 2020,Nigeria,Western Africa,417,22,1000,Nkereuwem,2020
Barakat et al 2018,Nigeria,Western Africa,324676,2,10000,Barakat,2018
"Kazahura, et AL 2021",Tanzania,Eastern Africa,949,34,1000,Kazahura,2021
Massoure et al.,Djibouti,Eastern Africa,156,13,1000,Massoure,2013
Rossi et al 2014,Eritrea,Eastern Africa,684,40,1000,Rossi,2014
Musuku 2018,Zambia,Eastern Africa,2116,11.8,1000,Musuku,2018
 Engel et al 2015,South Africa,Southern Africa,2720,21,1000,Engel,2015
Ogunbi et al 1978,Nigeria,Western Africa,12755,30,1000,Ogunbi,1978
 Sulafa et al 2018,Sudan,Northern Africa,818,22,100,Sulafa,2018
Euridsse et al 2023,Mozambique,Eastern Africa,954,48,10000,Euridsse,2023
Mulatu et al 2016,Ethiopia,Eastern Africa,1874,3,1000,Mulatu ,2016
Sadoh et al 2019,Nigeria,Western Africa,2742,15,1000,Sadoh,2019
"Beaton, 2015",Uganda,Eastern Africa,4773,33,1000,Beaton,2015
"Ekure, 2019",Nigeria,Western Africa,4107,3,1000,Ekure,2019
"Engel, 2015",Ethiopia,Eastern Africa,2000,31,1000,Engel,2015
"Gemechu, 2017",Egypt,Northern Africa,3062,20,1000,Gemechu,2017
"Ngaïdé, 2015",Senegal,Western Africa,2019,5,1000,Ngaïdé,2015
"Ploutz, 2015",Uganda,Eastern Africa,956,12,1000,Ploutz,2015
"Sanyahumbi, 2016",Malawi,Eastern Africa,1450,7,1000,Sanyahumbi,2016
"Yadeta, 2016",Ethiopia,Eastern Africa,3238,19,1000,Yadeta,2016
Mucumbitsi et al,Rwanda,Eastern Africa,2501,7,1000,Mucumbitsi,2017
Tewodros et al 1992 ,Ethiopia,Eastern Africa,816,48,816,Tewodros,1992
Oli et al 1992,Ethiopia,Eastern Africa,9388,5,1000,Oli,1992
Anabwani et al 1989,Kenya,Eastern Africa,3631,2,1000,Anabwani,1989
Gapu et al 2015,Zimbabwe,Southern Africa,2601,12,1000,Gapu,2015
Emy et al 2021,Uganda,Eastern Africa,1075,6,10000,Emy,2021
Longo-Mbenza et al 1998,Democratic Republic of the Congo,Central Africa,4848,14,1000,Longo-Mbenza,1998
